wave,blue
749,0.08803587
750,0.088518521
751,0.088644619
752,0.088770341
753,0.08889569
754,0.089020667
755,0.089145276
756,0.089269519
757,0.089393398
758,0.089516917
759,0.089640077
760,0.08976288
761,0.08960932
762,0.089455202
763,0.089300523
764,0.089145276
765,0.088989457
766,0.088833062
767,0.088676085
768,0.088518521
769,0.088360365
770,0.088201612
771,0.088042257
772,0.087882293
773,0.087721717
774,0.087560521
775,0.087398701
776,0.087236251
777,0.087073166
778,0.086909438
779,0.086745063
780,0.086580035
781,0.086414347
782,0.086247993
783,0.086080966
784,0.085913262
785,0.085744872
786,0.085575791
787,0.085406011
788,0.085235527
789,0.085064331
790,0.084892416
791,0.084719775
792,0.084546401
793,0.084372286
794,0.084197424
795,0.084021806
796,0.083845426
797,0.083668274
798,0.083490344
799,0.083311627
800,0.083132116
801,0.082891516
802,0.082649468
803,0.082405952
804,0.082160946
805,0.08191443
806,0.081666381
807,0.08237263
808,0.08306664
809,0.083748894
810,0.084419846
811,0.085079924
812,0.08572953
813,0.086369044
814,0.086998824
815,0.08761921
816,0.088230521
817,0.088833062
818,0.089427121
819,0.090012971
820,0.090590872
821,0.091161071
822,0.091723804
823,0.092279294
824,0.092827757
825,0.093369395
826,0.093904403
827,0.094432969
828,0.094955269
829,0.095471476
830,0.095981751
831,0.096486252
832,0.096985129
833,0.097478526
834,0.097966581
835,0.098449427
836,0.098927194
837,0.099400002
838,0.099867971
839,0.100331215
840,0.100789844
841,0.101243963
842,0.101693674
843,0.102139077
844,0.102580267
845,0.103017334
846,0.103450368
847,0.103879455
848,0.104304678
849,0.104726116
850,0.105143848
851,0.105594846
852,0.106041627
853,0.106484283
854,0.106922901
855,0.107357565
856,0.107788359
857,0.108215362
858,0.10863865
859,0.109058298
860,0.109474379
861,0.109886962
862,0.110296115
863,0.110701904
864,0.111104393
865,0.111503644
866,0.111899716
867,0.112292669
868,0.112682559
869,0.113069441
870,0.113453369
871,0.113834395
872,0.114212569
873,0.114587941
874,0.114960559
875,0.11533047
876,0.115697718
877,0.116062349
878,0.116424405
879,0.116783929
880,0.117140961
881,0.117495541
882,0.117847708
883,0.118197501
884,0.118544956
885,0.118890109
886,0.119232996
887,0.119573651
888,0.119912107
889,0.120248398
890,0.120582556
891,0.120914611
892,0.121244595
893,0.121572537
894,0.121898467
895,0.122222413
896,0.122544403
897,0.122864465
898,0.123182624
899,0.123498908
900,0.123813342
901,0.127292728
902,0.130565035
903,0.133656921
904,0.136590019
905,0.139382145
906,0.142048161
907,0.144600607
908,0.147050169
909,0.149406031
910,0.151676154
911,0.153867482
912,0.155986116
913,0.158037445
914,0.160026257
915,0.161956825
916,0.163832979
917,0.165658169
918,0.167435512
919,0.169167837
920,0.170857718
921,0.172507505
922,0.174119349
923,0.175695226
924,0.177236956
925,0.178746215
926,0.180224557
927,0.18167342
928,0.18309414
929,0.18448796
930,0.185856041
931,0.187199463
932,0.188519241
933,0.189816322
934,0.191091598
935,0.192345904
936,0.193580029
937,0.194794714
938,0.195990658
939,0.197168524
940,0.198328935
941,0.199472484
942,0.200599732
943,0.201711211
944,0.202807425
945,0.203888857
946,0.204955961
947,0.206009175
948,0.207048912
949,0.208075568
950,0.20908952
951,0.209888765
952,0.210680345
953,0.211464431
954,0.212241186
955,0.213010768
956,0.21377333
957,0.214529018
958,0.215277977
959,0.216020343
960,0.216756252
961,0.217485833
962,0.21820921
963,0.218926506
964,0.219637839
965,0.220343324
966,0.22104307
967,0.221737187
968,0.222425777
969,0.223108944
970,0.223786786
971,0.223287836
972,0.222786009
973,0.222281265
974,0.221773565
975,0.221262868
976,0.220749132
977,0.220232316
978,0.219712374
979,0.219189264
980,0.218662939
981,0.218133353
982,0.217600459
983,0.217064208
984,0.21652455
985,0.215981434
986,0.215434808
987,0.214884618
988,0.214330811
989,0.21377333
990,0.213212117
991,0.212647114
992,0.21207826
993,0.211505495
994,0.210928753
995,0.210347971
996,0.209763082
997,0.209174017
998,0.208580706
999,0.207983077
1000,0.207381056
1001,0.206603939
1002,0.205819336
1003,0.205027077
1004,0.204226986
1005,0.203418879
1006,0.202602568
1007,0.201777853
1008,0.200944532
1009,0.200102391
1010,0.199251209
1011,0.198390757
1012,0.197520795
1013,0.196641076
1014,0.195751338
1015,0.194851313
1016,0.193940719
1017,0.19301926
1018,0.192086629
1019,0.191142507
1020,0.190186555
1021,0.189218424
1022,0.188237744
1023,0.187244129
1024,0.186237174
1025,0.185216454
1026,0.18418152
1027,0.183131904
1028,0.182067108
1029,0.180986612
1030,0.179889863
1031,0.17877628
1032,0.177645248
1033,0.176496113
1034,0.175328187
1035,0.174140735
1036,0.172932979
1037,0.17170409
1038,0.170453184
1039,0.169179317
1040,0.167881483
1041,0.166558602
1042,0.165209515
1043,0.163832979
1044,0.162427654
1045,0.160992094
1046,0.159524738
1047,0.158023891
1048,0.156487714
1049,0.154914204
1050,0.153301171
1051,0.153191685
1052,0.153082012
1053,0.152972148
1054,0.152862095
1055,0.152751851
1056,0.152641414
1057,0.152530786
1058,0.152419964
1059,0.152308948
1060,0.152197737
1061,0.152770238
1062,0.153337624
1063,0.153900001
1064,0.154457471
1065,0.155010132
1066,0.155558081
1067,0.15610141
1068,0.156640208
